text,true,TF-IDF,fastText,RobeCzech,error_category,note
"Boxerská asociace trestá rozhodčí z Ria. Všem zastavila činnost Mezinárodní asociace amatérského boxu (AIBA) zastavila dočasně činnost všem 36 ringovým a bodovým rozhodčím, kteří se představili na olympijských hrách. Suspendace bude trvat až do ukončení vyšetřování kontroverzních momentů z Ria de Janeiro.",box,olympijske_hry,olympijske_hry,olympijske_hry,,
"Raz, dva, přezuto! Kdo teď v F1 nejrychleji mění gumy? Williams Být to takový kvapík v servisech, nemuseli byste na jaře a na podzim čekat na výměnu gum v pořadníku. A už vůbec byste si při práci fachmanů nestačili dát kafe. Jen co dočtete tento úvod, hned čtveřice aut by měla nové obutí.",moto,formule1,formule1,formule1,,
"Martin Zeman už dře v Plzni. Pobaví kromě dětinského účesu také svojí hrou? Plzeň posílil Martin Zeman. Je to dobrej nápad, špatnej nápad nebo jakej je to vlastně nápad?",fotbal,hokej,hokej,hokej,,
Moderní pětibojařka Kodedová pojede na olympiádu do Ria Moderní pětibojařka Barbora Kodedová se dodatečně kvalifikovala na olympijské hry. Do Ria de Janeiro pojede společně s olympijským vítězem Davidem Svobodou a Janem Kufem.,olympijske_hry,olympijske_hry,olympijske_hry,tenis,,
Po páté porážce za sebou Darmstadt odvolal trenéra Meiera Norbert Meier,fotbal,fotbal,fotbal,hokej,,
"RUFA SPORT na štarte FIA ERC v Rzeszowe 2016 Slovenský RUFA SPORT Team sa Rajdu Rzeszowski zúčastňuje pravidelne každý rok. Dôvodom je „domáca príslušnosť“ jazdca, rodáka z Rzeszowa, Grzegorza Grzyba.",moto,moto,moto,formule1,,
Čáslavská: Olympijská legenda bojovala s režimem i s vlastní nepřízní osudu Galerie,atletika,fotbal,olympijske_hry,hokej,,
"Gretzky se klaní legendě! Prozradil, jak vypadalo setkání s Alim (†74) Celý sportovní svět se od páteční noci zahalil do smutku. Svět opustil boxer, který přesahoval hranice boxu, ale i celého sportu. Stovky světoznámých osobností se teď klaní velkému muži. Poslední vzpomínku mu věnoval i nejlepší hokejista všech dob Wayne Gretzky. „Muhammad Ali byl největším sportovcem, co kdy žil,“ vysekl Alimu poklonu „The Great One“.",box,box,box,hokej,,
"Trumpovo zvolení může zhoršit šance Los Angeles na OH Vítězství Donalda Trumpa v boji o Bílý dům může zhoršit šance Los Angeles v boji o uspořádání olympijských her v roce 2024. Komentář BBC také upozorňuje, že kroky nového prezidenta a jeho týmu budou s napětím sledovat Mezinárodní fotbalová federace (FIFA) i představitelé nejpopulárnějších amerických sportů - basketbalu, baseballu a amerického fotbalu, jejichž snahu o expanzi mimo Spojené státy by mohlo podkopat Trumpovo tažení za zavedení dovozních cel.",fotbal,fotbal,golf,olympijske_hry,,
"Cavendish může v Riu usilovat o premiérovou olympijskou medaili Britský cyklista Mark Cavendish bude moci na srpnových olympijských hrách v Riu de Janeiro usilovat o svou první medaili pod pěti kruhy. Jeden z nejlepších silničních sprinterů posledních let, který v Pekingu 2008 ani v Londýně 2012 nepotvrdil roli favorita, se v Riu představí na dráze v omniu. Kromě něj jsou v britské nominaci i další hvězdy Chris Froome, Bradley Wiggins či Lizzie Armitsteadová.",cyklistika,olympijske_hry,olympijske_hry,olympijske_hry,,
